Origin_airport,Destination_airport,Origin_city,Destination_city,Passengers,Seats,Flights,Distance,Fly_date,Origin_population,Destination_population,Org_airport_lat,Org_airport_long,Dest_airport_lat,Dest_airport_long
SAN,SFO,"San Diego, CA","San Francisco, CA",18561,27528,201,447,2008-06-01,3019274,8520472,32.7336006165,-117.190002441,37.6189994812012,-122.375
LGA,IND,"New York, NY","Indianapolis, IN",141,141,1,659,1996-11-01,34380072,1406510,40.77719879,-73.87259674,39.7173,-86.294403
SFO,ANC,"San Francisco, CA","Anchorage, AK",0,0,8,2018,2004-12-01,8287044,346057,37.6189994812012,-122.375,61.1744003295898,-149.996002197266
PNS,IAH,"Pensacola, FL","Houston, TX",225,285,3,489,1997-12-01,393816,4351339,30.473400115967,-87.186599731445,29.9843997955322,-95.3414001464844
CMH,EWR,"Columbus, OH","Newark, NJ",753,1280,10,462,1994-09-01,1484995,17072218,39.9980010986328,-82.8918991088867,40.6925010681152,-74.168701171875
CLT,CHS,"Charlotte, NC","Charleston, SC",2228,3520,32,168,1991-04-01,1050648,524780,35.2140007019043,-80.9430999755859,32.89860153,-80.04049683
LAX,SJC,"Los Angeles, CA","San Jose, CA",11986,23354,184,308,2001-01-01,25051472,1745147,33.94250107,-118.4079971,37.3625984191895,-121.929000854492
ORD,ATL,"Chicago, IL","Atlanta, GA",0,0,11,606,2002-10-01,18490270,4555490,41.97859955,-87.90480042,33.6366996765137,-84.4281005859375
MLU,SYR,"Monroe, LA","Syracuse, NY",0,50,1,1134,2006-09-01,172859,644844,32.5108985900879,-92.0376968383789,43.111198425293,-76.1063003540039
RNO,LAX,"Reno, NV","Los Angeles, CA",522,600,12,390,2009-03-01,419261,25749594,39.4990997314453,-119.767997741699,33.94250107,-118.4079971
ATL,ABE,"Atlanta, GA","Allentown, PA",22,50,1,692,2009-01-01,5475213,816012,33.6366996765137,-84.4281005859375,40.652099609375,-75.440803527832
ALB,DTW,"Albany, NY","Detroit, MI",36,100,1,488,1990-02-01,811232,8503650,42.7482986450195,-73.8016967773438,42.2123985290527,-83.353401184082
GFK,CID,"Grand Forks, ND","Cedar Rapids, IA",0,0,1,497,2004-06-01,97840,244966,47.949299,-97.176102,41.8847007751465,-91.7108001708984
IND,CVG,"Indianapolis, IN","Cincinnati, OH",87,100,2,98,2006-11-01,1671898,2122711,39.7173,-86.294403,39.0488014221,-84.6678009033
LGA,CLT,"New York, NY","Charlotte, NC",12868,15555,85,544,2009-03-01,38139592,1745524,40.77719879,-73.87259674,35.2140007019043,-80.9430999755859
CVG,TLH,"Cincinnati, OH","Tallahassee, FL",107,107,1,596,1993-03-01,1909662,276655,39.0488014221,-84.6678009033,30.3964996337891,-84.3503036499023
